,cpu_freq_GHz,cpu_percent_0,cpu_percent_1,cpu_percent_2,cpu_percent_3,cpu_percent_4,cpu_percent_5,cpu_percent_6,cpu_percent_7,io_sda1_busy_time,io_sda1_read_Mbytes,io_sda1_write_Mbytes,io_sda2_busy_time,io_sda2_read_Mbytes,io_sda2_write_Mbytes,io_sda3_busy_time,io_sda3_read_Mbytes,io_sda3_write_Mbytes,io_sda4_busy_time,io_sda4_read_Mbytes,io_sda4_write_Mbytes,io_sda_busy_time,io_sda_read_Mbytes,io_sda_write_Mbytes,io_sdb1_busy_time,io_sdb1_read_Mbytes,io_sdb1_write_Mbytes,io_sdb2_busy_time,io_sdb2_read_Mbytes,io_sdb2_write_Mbytes,io_sdb_busy_time,io_sdb_read_Mbytes,io_sdb_write_Mbytes,io_sdc1_busy_time,io_sdc1_read_Mbytes,io_sdc1_write_Mbytes,io_sdc2_busy_time,io_sdc2_read_Mbytes,io_sdc2_write_Mbytes,io_sdc_busy_time,io_sdc_read_Mbytes,io_sdc_write_Mbytes,kilo_ctx_switches,ram_GB,ram_percent,temp_amdgpu_,temp_coretemp_Core 0,temp_coretemp_Core 1,temp_coretemp_Core 2,temp_coretemp_Core 3,temp_coretemp_Package id 0,time
0,1.2088815,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0,0.2048,4,0.0,0.2048,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.396,2.671706112,19.2,43.0,41.0,45.0,41.0,42.0,45.0,2019-08-05 13:46:55
1,1.202302125,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.529,2.671771648,19.2,43.0,40.0,44.0,42.0,43.0,45.0,2019-08-05 13:46:56
2,1.2919407500000002,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.627,2.671484928,19.2,43.0,40.0,44.0,41.0,42.0,44.0,2019-08-05 13:46:57
3,1.19713075,2.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,0.0,0.045056,6,0.0,0.045056,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.34,2.671443968,19.2,43.0,40.0,44.0,41.0,43.0,45.0,2019-08-05 13:46:58
4,1.2049988750000002,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.351,2.671734784,19.2,43.0,41.0,44.0,41.0,43.0,45.0,2019-08-05 13:46:59
5,1.2232591249999998,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.728,2.670952448,19.2,43.0,41.0,43.0,42.0,42.0,45.0,2019-08-05 13:47:00
6,1.1972648750000001,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.662,2.670944256,19.2,43.0,42.0,45.0,41.0,43.0,44.0,2019-08-05 13:47:01
7,1.2140856249999996,4.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.362,2.670686208,19.2,43.0,40.0,44.0,41.0,43.0,44.0,2019-08-05 13:47:03
8,1.284658375,2.0,0.0,2.0,0.0,4.0,2.0,3.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,0.0,0.016384,7,0.0,0.016384,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.998,2.671808512,19.2,43.0,40.0,43.0,42.0,42.0,44.0,2019-08-05 13:47:04
9,1.207193625,14.9,2.0,7.0,5.0,8.0,5.1,8.0,4.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0,0.004096,3,0.0,0.004096,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3.318,2.671652864,19.2,43.0,40.0,44.0,41.0,43.0,46.0,2019-08-05 13:47:05
